Artists,Name,Date,Genre,Writing.Credits,Features
Meek Mill,Blessed Up,27-Oct-16,Rap,"James brown, Streetrunner, Tarik azzouz, Meek mill",
Tove Lo,Cool Girl,4-Aug-16,"Electro,Scandipop,Scandinavia,Sverige,Electro-Pop,Electronic,Pop","Jakob jerlstrom, Ludvig soderberg, Tove lo",
Ariana Grande,Into You,6-May-16,"Electro-Pop,Pop","Ilya, Ariana grande, Max martin, Alexander kronlund, Savan kotecha",
Drake,Controlla,29-Apr-16,"Jamaica,Ragga,Dancehall,Canada,Rap","Andrew thomas, Patrick roberts, Garu jackson, Donald dennis, Aquaman, Di genius, Allen ritter, Supa dups, Beenie man, Drake, Boi 1da",
Lady Gaga,Perfect Illusion,9-Sep-16,Pop,"M tucker, Kevin parker, Mark ronson, Lady gaga",
YG,Why You Always Hatin?,21-May-16,"Canada,West Coast,Rap","August moon, Tyrone thomas, Ct beats, Kamaiyah, Drake, Yg","Drake, Kamaiyah"
Kehlani,CRZY,15-Jul-16,R&;B,"Brittany coney, Blu june, Kehlani",
French Montana,Lockjaw,19-Feb-16,Rap,"Yo asel, Ben billions, Dj khaled, Kodak black, French montana",Kodak Black
DJ Khaled,For Free,3-Jun-16,"R&;B,Canada,Rap","Too short, Nineteen85, Jordan ullman, Dj khaled, Drake",Drake
Fifth Harmony,Work From Home,26-Feb-16,"Trap,Tropical House,R&;B,Girl Group,Pop","Claire demorest, Dallask, Brian lee, Ty dolla sign, Eskeerdo, Ammo",Ty Dolla $ign
Dua Lipa,Blow Your Mind,26-Aug-16,"Dance-Pop,Electro-Pop,UK,Pop","Lauren christy, Jon levine, Dua lipa",
Dierks Bentley,Different For Girls,27-May-16,Country,"Shane mcanally, Jt harding",Elle King
ScHoolboy Q,THat Part,13-May-16,"Trap,Memes,West Coast,Rap","Noah goldstein, Cyhi the prynce, Cubeatz, Cardo, Yung exclusive, Sounwave, Kanye west, Schoolboy q",Kanye West
Fifth Harmony,All In My Head,27-May-16,"Tropical House,Trap,Reggae,Girl Group,Rap,Pop","Mad cobra, Brian gold, Sly dunbar, Play picasso, Simon wilcox, Leroy romans, Brian garcia, Lauren jauregui, Normani, Ally brooke, Dinah jane, Camila cabello, Handel tucker, Lsr, Herbert harris, Richard foulks, Clifton dillon, Julia michaels, Sir nolan, Tory lanez, Benny blanco, Fetty wap, Stargate",Fetty Wap
Tucker Beathard,Rock On,,Country,"Casey beathard, Marla cannon goodman, Tucker beathard",
William Michael Morgan,I Met A Girl,19-Aug-15,Country,"Trevor rosen, Shane mcanally, Sam hunt",
DJ Khaled,I Got The Keys,26-Jun-16,"Cloud Rap,Producer,Trap,Rap","Jake one, G koop, Dj khaled, Future, Jay z","Jay Z, Future"
P!nk,Just Like Fire,15-Apr-16,Pop,"Oscar holter, Shellback, Max martin, P nk",
Grace,You Don't Own Me,17-Mar-15,"West Coast,Rap,R&;B","Parker ighile, Quincy jones, Grace, Dave white, John madara, G eazy",G
Kelsea Ballerini,Peter Pan,21-Mar-16,Country,"Kristo jen, Kelsea ballerini",
OneRepublic,Kids,12-Aug-16,"Electro-Pop,Pop-Rock,Pop,Rock","Brandon collins, Steve wilmot, Brent kutzle, Ryan tedder",
"Artists Of Then, Now, Forever",Forever Country,16-Sep-16,Country,"Dolly parton, Willie nelson, Shane mcanally, Bill danoff, John denver, Taffy nivert",
Solange,Cranes In The Sky,30-Sep-16,R&;B,"R8dio, Raphael saadiq, Solange",
Future,Low Life,25-Dec-15,"Atlanta,Trap,Canada,Rap,R&;B","Doc mckinney, Ben billions, Metro boomin, Daheala, The weeknd, Future",The Weeknd
Sam Hunt,Make You Miss Me,27-Oct-14,"Rock,Country","Matt ramsey, Josh osborne, Sam hunt",
Solange,Don't Touch My Hair,30-Sep-16,R&;B,"Patrick wimberly, David andrew sitek, Sampha, Bryndon cook, Solange",Sampha
CL,LIFTED,19-Aug-16,"Pop,Rap","Method man, Asher roth, Cl, Teddy park",
Rihanna,Work,27-Jan-16,"Producer,Ragga,Memes,R&;B,Dancehall,Canada,Pop","Kuk harrell, 40, Sevn thomas, Boi 1da, Rich stephenson, Monte moir, Partynextdoor, Drake, Rihanna, Allen ritter",Drake
Mike Posner,I Took A Pill In Ibiza,14-Apr-15,"Singer-Songwriter,Adult Alternative,Pop-Rock,Acoustic,Pop",Mike posner,
Flume,Never Be Like You,16-Jan-16,"Future Bass,Australia,Dance,Electronic,Pop","Flume, Geoffrey patrick earley, Kai",Kai
Florida Georgia Line,H.O.L.Y.,29-Apr-16,Country,"Busbee, Nate cyphert, William larsen",
Lukas Graham,Mama Said,23-Jun-14,"Scandinavia,Adult Alternative,Pop-Rock,Danmark,Soul,Pop","Morten pilo pilegaard, Lukas forchhammer, Morten rissi ristorp, Don stefano",
Meghan Trainor,Me Too,5-May-16,Pop,"Ricky reed, Peter svensson, Jason derulo, Jacob kasher, Meghan trainor",
"Skrillex, Rick Ross",Purple Lamborghini,5-Aug-16,"Pop,Dubstep,Trap,Rap","Beat billionaire, Skrillex, Rick ross",
Justin Moore,You Look Like I Need A Drink,30-Oct-15,Country,"Natalie hemby, Matt dragstrem, Rodney clawson",
French Montana,No Shopping,16-Jul-16,"Canada,Rap","Murda beatz, Cubeatz, French montana, Drake",Drake
Lukas Graham,7 Years,16-Jun-15,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop","Morten pilo pilegaard, Lukas forchhammer, Morten rissi ristorp, Don stefano",
twenty one pilots,Cancer,13-Sep-16,"Cover,Pop,Ambient,Electro-Pop,Electronic","Gerard way, Mikey way, Ray toro, Frank iero, Bob bryar",
Wale,My PYT,20-May-16,"R&;B,Rap","Sam sneak, Wale",
Chris Brown,Grass Ain't Greener,5-May-16,"Trap,Alternative R&;B,Rap,R&;B","Chrishan, Lyrica anderson, Nikhil seetharam, Bobby joseph turner jr, A1, Chris brown",
twenty one pilots,Stressed Out,28-Apr-15,"Pop-Rock,Piano,Rap Rock,Adult Alternative,Alternative Pop,Alternative,Alternative Rock,Rap,Pop",Tyler joseph,
Kent Jones,Don't Mind,18-Apr-16,Rap,"Dj khaled, Kent jones",
Katy Perry,Rise,15-Jul-16,"Electronic,Pop","Katy perry, Max martin, Savan kotecha, Ali payami",
Britney Spears,Make Me...,14-Jul-16,"Electro-Pop,Pop","Burns, Joe janiak, G eazy, Britney spears",G
Blake Shelton,She's Got A Way With Words,20-May-16,Country,"Marc beeson, Andy albert, Wyatt earp",
Jake Owen,American Country Love Song,13-Apr-16,Country,"Ross copperman, Ashley gorley",
Beyonce,Sorry,23-Apr-16,"R&;B,Pop","Diana gordon, Beyonce, Melo x",
Dan + Shay,From The Ground Up,5-Feb-16,Country,"Chris destefano, Shay mooney, Dan smyers",
Selena Gomez,Kill Em With Kindness,3-May-16,"Electro,Eurodance,Electro House,Dance,Tropical House,Pop","Antonina armato, Dave aude, Benny blanco, Tim james, Selena gomez",
Kanye West,Famous,14-Feb-16,"Producer,Beef,Pop,Rap","Hudson mohawke, Giampiero scalamogna, Sergio bardotti, Vincenzo da via anfossi, Luiz enriquez bacalov, Winston riley, Jimmy webb, Plain pat, Charlie heat, Swizz beatz, Mike dean, Andrew dawson, Noah goldstein, Havoc, Kanye west, Cyhi the prynce, Chance the rapper",
DNCE,Cake By The Ocean,18-Sep-15,"Pop-Rock,Pop","Justin tranter, Joe jonas, Mattias larsson, Robin fredriksson",
Future,Wicked,17-Jan-16,"Atlanta,Trap,Memes,Rap","Metro boomin, Southside, Future",
Young Thug,Wyclef Jean,26-Aug-16,"Atlanta,Trap,Rap","Young thug, Christopher thornton, Dria, S1, Supah mario",
Eric Church,Record Year,4-Nov-15,Country,"Jeff hyde, Eric church",
Enrique Iglesias,Duele El Corazon,18-Apr-16,"En Espa\xc3\xb1ol,Pop","Luny, Wisin, Silverio lozada, Servando primera, Hasibur rahman, Patrick ingunza, Enrique iglesias",Wisin
Carrie Underwood,Church Bells,11-Apr-16,"Pop,Country","Hillary lindsey, Brett james, Zach crowell",
Justin Bieber,Love Yourself,13-Nov-15,"UK,Canada,Pop","Benny blanco, Justin bieber, Ed sheeran",
Frank Ocean,Nikes,20-Aug-16,R&;B,Frank ocean,
Frank Ocean,Ivy,20-Aug-16,R&;B,"Malay, Frank ocean",
Frank Ocean,Solo,20-Aug-16,"Soul,Rap,R&;B","Malay, Frank ocean",
Frank Ocean,Nights,20-Aug-16,"R&;B,Rap","Michael uzowuru, Vegyn, Frank ocean",
MadeinTYO,Uber Everywhere,2-Jul-15,Rap,Madeintyo,
Jacob Sartorius,Hit Or Miss,25-Jul-16,"Rap,Pop",Jacob sartorius,
Chris Lane,Fix,13-Nov-15,Country,"Sarah buxton, Jesse frasure, Abe stoklasa",
DNCE,Toothbrush,23-Oct-15,Pop,"Ilya, James ghaleb, Rickard goransson, Joe jonas",
Jason Aldean,Lights Come On,1-Apr-16,Country,"The warren brothers, Florida georgia line, Jordan schmidt, Jimmy robbins",
Zac Brown Band,Castaway,25-Apr-16,Country,"Niko moon, Zac brown, Wyatt durrette, John driskell hopkins, Coy bowles",
Galantis,No Money,31-Mar-16,"Dance,Electronic,Pop","Style of eye, Digital farm animals, Bullysongs, Henrik jonback, Jimmy svidden koitsch, Bloodshy",
Keith Urban,Wasted Time,4-Apr-16,Country,"Keith urban, Jhart, Greg wells",
James Bay,Let It Go,15-Sep-14,"Ballad,Soul Pop,Alternative,Adult Alternative,Adult Contemporary,Pop-Rock,Pop,Rock","James bay, Paul barry",
Justin Bieber,Sorry,23-Oct-15,"Canada,Tropical House,Electro-Pop,Electronic,Pop","Skrillex, Bloodpop, Julia michaels, Justin tranter, Justin bieber",
Jon Pardi,Head Over Boots,14-Sep-15,Country,"Luke laird, Jon pardi",
Panic! At The Disco,Bohemian Rhapsody,5-Aug-16,"Cover,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Punk Rock,Pop-Rock,Pop,Rock",Freddie mercury,
"Fat Joe, Remy Ma, Jay Z",All The Way Up,24-May-16,Rap,"Remy ma, Infared, Fat joe, Jay z","French Montana, Infared"
Nick Jonas,Close,25-Mar-16,Pop,"Tove lo, Justin tranter, Julia michaels, Mattias larsson, Robin fredriksson",Tove Lo
Fetty Wap,Wake Up,20-Apr-16,Rap,Fetty wap,
Luke Bryan,"Huntin', Fishin' & Lovin' Every Day",7-Aug-15,Country,"Dallas davidson, Ben hayslip, Rhett akins, Luke bryan",
Flo Rida,My House,13-Oct-15,"Pop,Rap","Roy c, Flo rida, Marco antonio barrera, Johan carlsson, Ross golan",
Ariana Grande,Dangerous Woman,11-Mar-16,"Pop-Rock,Pop,R&;B","Max martin, Ross golan, Johan carlsson",
Zara Larsson,Lush Life,5-Jun-15,"Bounce,Scandinavia,Dance,Pop","Iman hulten, Shuko, Markus sepehrmanesh, Linnea sodahl, Emanuel abrahamsson, Fridolin walcher",
DJ Khaled,Holy Key,22-Jul-16,"Soul,Trap,Rap","Edsclusive, Cool and dre, Betty wright, Dj khaled, Big sean, Kendrick lamar","Big Sean, Kendrick Lamar, Betty Wright"
Ben Rector,Brand New,1-Aug-15,Pop,"David hodges, Abe stoklasa, Ben rector",
OneRepublic,Wherever I Go,13-May-16,"Pop-Rock,Pop,Rock","Ryan tedder, Brent kutzle, Noel zancanella",
"Gucci Mane, Drake",Back On Road,4-Jun-16,"Trap,Atlanta,Canada,Rap","Gucci mane, Drake",
Major Lazer,Light It Up,5-Nov-15,"Pop,Electro,Dance,Dancehall,Electronic","Major lazer, Nyla, Fuse odg, Diplo","Nyla, Fuse ODG"
Ruth B,Lost Boy,21-Aug-15,"Ballad,Pop",Ruth b,
"Zara Larsson, MNEK",Never Forget You,22-Jul-15,"Scandipop,Sverige,Dance,Electro-Pop,Scandinavia,UK,Pop","Zara larsson, Astronomyy, Mnek",
5 Seconds Of Summer,Girls Talk Boys,15-Jul-16,"Australia,Pop","Ricky reed, Teddy geiger, John ryan, Ammar malik",
Demi Lovato,Body Say,1-Jul-16,Pop,"Simon wilcox, Demi lovato, Sir nolan",
Meghan Trainor,No,4-Mar-16,"Memes,Pop","Ricky reed, Meghan trainor, Jacob kasher",
David Nail,Night's On Fire,20-Jul-15,Country,"Jonathan singleton, Deric ruttan",
The Lumineers,Ophelia,4-Feb-16,"Piano,Indie Pop,Indie Rock,Pop-Rock,Adult Alternative,Folk,Folk Rock,Alternative Rock,Rock","Jeremiah fraites, Wesley schultz",
Dreezy,Body,7-Jan-16,"Rap,R&;B","Dreezy, Starrah, J felton, M tucker",Jeremih
Zayn,Pillowtalk,29-Jan-16,"Alternative R&;B,R&;B,UK,Pop","Joe garrett, Levi lennox, Michael hannides, Anthony hannides, Zayn",
G,"Me, Myself & I",14-Oct-15,"Pop,West Coast,Rap","Tom barnes, Christoph andersson, Ben kohn, Pete kelleher, Lauren christy, Michael keenan, Bebe rexha, G eazy",
"Jennifer Lopez, Lin",Love Make The World Go Round,8-Jul-16,"Charity,LGBTQ+,Reggaeton,Pop","Johnny yukon, Lin manuel miranda, Jennifer lopez",
Kenny Chesney,Noise,25-Mar-16,Country,"Ross copperman, Jon nite, Shane mcanally, Kenny chesney",
Blake Shelton,Came Here To Forget,8-Mar-16,Country,"Craig wiseman, Deric ruttan",
Blink,Bored To Death,27-Apr-16,"Pop-Rock,Pop,Punk Rock,Pop-Punk,Rock","Matt skiba, Mark hoppus, John feldmann, Travis barker",
"Carlos Vives, Shakira",La Bicicleta,27-May-16,"En Espa\xc3\xb1ol,Pop","Shakira, Andres castro, Carlos vives",
O.T. Genasis,Cut It,25-Sep-15,Rap,"Ot genasis, Young dolph",Young Dolph
Jeremih,Oui,30-Oct-15,R&;B,"Needlz, Kendall manuel jackson, Andrews bonsu, Carl groove martin, Donut, Jeremih",
Alessia Cara,Wild Things,2-Feb-16,"Canada,Pop","Thabiso tab nkhereanye, Alessia cara, Coleridge tillman, James ho",
Disturbed,The Sound Of Silence,21-Aug-15,"Folk Rock,Nu-Metal,Metal,Hard Rock,Alternative Rock,Cover,Ballad,Rock",Paul simon,
Pitbull,Messin' Around,8-Apr-16,"Trap,Rap","Jimmy joker, Jose garcia, Michael calderon, Aj junior, Jorge gomez, Gary richrath, Enrique iglesias, Pitbull",Enrique Iglesias
Drake,Still Here,29-Apr-16,"Canada,Rap","Lil wayne, 40, Daxz, Drake",
Drake,Hype,29-Apr-16,"Trap,Canada,Rap","Cubeatz, The beat bully, Boi 1da, Drake",
Logic,Flexicution,13-Jun-16,"Trap,Rap",Logic,
Kevin Gates,Really Really,5-Oct-15,Rap,"Kevin gates, Cook classics, Alex goose, Jake troth",
Drake,Grammys,29-Apr-16,"Trap,Canada,Rap","Future, Yung exclusive, Southside, Cardo, 40, Drake",Future
Shakira,Try Everything,15-Feb-16,"Disney,Soundtrack,Pop",Sia,
Red Hot Chili Peppers,Dark Necessities,5-May-16,"Adult Alternative,Funk Rock,Alternative Rock,Rock","Danger mouse, Josh klinghoffer, Flea, Chad smith, Anthony kiedis",
Kevin Gates,2 Phones,5-Nov-15,"Memes,Trap,Rap","Mad max, Kevin gates, Starrah",
Tim McGraw,Humble And Kind,6-Sep-15,Country,Lori mckenna,
Kane Brown,Ain't No Stopping Us Now,2-Dec-16,Country,"Jordan schmidt, Jamie paulin, Kane brown",
Rihanna,Kiss It Better,28-Jan-16,"Synth Rock,Pop,R&;B","Teddy sinclair, Glass john, Jeff bhasker, Rihanna",
Bryson Tiller,Exchange,21-Sep-15,"Boom Bap,Singer-Songwriter,Dark Pop,Soul Pop,Hardcore Hip-Hop,Conscious Hip-Hop,Pop,Dancehall,Soul,Trap,Rap,R&;B","Foreign teck, Javelyn hall, Michael johnson, Bryson tiller",
Dierks Bentley,Somewhere On A Beach,19-Jan-16,Country,"Michael tyler, Jaron boyer, Alex palmer, Dave kuncio, Josh mirenda",
Jacob Sartorius,Sweatshirt,3-May-16,"Memes,Dance,Rock,Pop",Jacob sartorius,
Drake,With You,29-Apr-16,"Canada,Rap","Cardiak, Murda beatz, Nineteen85, Partynextdoor, Drake",PARTYNEXTDOOR
Belly,Might Not,7-May-15,"Canada,R&;B,Rap","Ben billions, Merlin watts, Daheala, The weeknd, Belly",The Weeknd
Alan Walker,Faded,3-Dec-15,"Progressive House,House,Electronic,Pop","Mood melodies, Alan walker, Jesper borgen, Gunnar greve pettersen",
DJ Snake,Middle,16-Oct-15,"Gaming,Soundtrack,Electronic,Pop","Bipolar sunshine, Dj snake, Aalias",Bipolar Sunshine
Maren Morris,My Church,19-Jan-16,"Gospel,Pop Country,Country","Busbee, Maren morris",
Old Dominion,Snapback,11-Jan-16,Country,"Trevor rosen, Matthew thomas ramsey, Brad tursi",
Mike WiLL Made,Nothing Is Promised,3-Jun-16,"Pop,Trap,Rap","James fauntleroy, Pluss, Mike will made it, Rihanna, Future",
Dustin Lynch,Mind Reader,28-Sep-15,Country,"Ben hayslip, Rhett akins",
Beyonce,Formation,6-Feb-16,"R&;B,Pop","Pluss, Jordan frost, Mike will made it, Swae lee, Beyonce",
Drake,Feel No Ways,29-Apr-16,"Hip-Hop,Canada,Rap","Anne dudley, Future, 40, Jordan ullman, Drake",
Yo Gotti,Law,19-Feb-16,Rap,"K camp, Big fruit, E 40, Yo gotti",E
Kelly Clarkson,Piece By Piece,9-Nov-15,"Electro-Pop,Orchestral,Pop","Greg kurstin, Kelly clarkson",
Young Greatness,Moolah,20-Nov-15,Rap,"Jazze pha, Young greatness",
Troye Sivan,Youth,13-Nov-15,Pop,"Leland, Alex hope, Allie x, Bram inscore, Troye sivan",
Ghost Town DJ's,My Boo,,"Memes,R&;B,Pop","Lil jon, Rodney terry, Carlton mahone",
Jason Derulo,If It Ain't Love,1-Apr-16,"R&;B,Pop","Jordan k johnson, Lindy robbins, Talay riley, Jason derulo",
Drake,9,29-Apr-16,"Canada,Rap","David harrisingh, Craig harrisingh, Serani, Mavado, Brian alexander morgan, Boi 1da, 40, Drake",
Charlie Puth,One Call Away,20-Aug-15,Pop,"Shy carter, Breyan isaac, Matt prime, Mozella, Charlie puth, Dj frank e",
Drake,U With Me?,29-Apr-16,"Canada,Rap","Faith evans, Axel morgan singer, Dave goode, Nokio the n tity, Phillip weatherspoon, Anthony fields, Dmx, Partynextdoor, Oz, Ricci riera, Vinylz, Dj dahi, Kanye west, Drake",
Drake,Fire & Desire,29-Apr-16,"Canada,Rap","Curtis sauce wilson, William young, Brandy, Rocho holiday, 40, Drake",
Drake,Redemption,29-Apr-16,"Canada,Rap","40, Drake",
Alisan Porter,Down That Road,23-May-16,"Country,Pop",,
Shawn Mendes,Stitches,15-Mar-15,Pop,"Daniel parker, Teddy geiger, Daniel kyriakides",
The Chainsmokers,Roses,16-Jun-15,"Future Bass,Dance-Pop,Dance,Electro-Pop,Electronic,Pop","The chainsmokers, Rozes",Rozes
Bryson Tiller,Don't,28-Oct-14,"Boom Bap,Singer-Songwriter,Dark Pop,Soul Pop,Soul,Rap,Trap,Alternative R&;B,R&;B","Vory, Jermaine dupri, Isom brandon stuart, Epikh pro, Mariah carey, Dope boi beatz, Bryson tiller",
Drake,Weston Road Flows,29-Apr-16,"Canada,Rap","Edgar key, D carty, J levine, C thompson, Diddy, Mary j blige, 40, Drake",
Drake,Keep The Family Close,29-Apr-16,"Ballad,Pop,Canada,Rap","Maneesh, Drake",
Drake,Faithful,29-Apr-16,"Canada,Rap","Bryan michael cox, Kevin hicks, Johnta austin, Boi 1da, Nineteen85, Dvsn, Pimp c, Drake","Pimp C, dvsn"
Chance The Rapper,Blessings,13-May-16,"Gospel,Christian,Rap","Fred hammond, Peter cottontale, Nate fox, Chance the rapper, Cam obi",Ty Dolla $ign
Kid Ink,Promise,25-Dec-15,Rap,"Twice as nice, Robin weisse, Mustard, Fetty wap, Kid ink",Fetty Wap
Blake Shelton,Go Ahead And Break My Heart,9-May-16,Country,"Gwen stefani, Blake shelton",Gwen Stefani
Jennifer Lopez,Ain't Your Mama,7-Apr-16,Pop,"Meghan trainor, Jacob kasher, Cirkut, Theron thomas, Lunchmoney lewis, Dr luke",
Beyonce,6 Inch,23-Apr-16,"Canada,R&;B,Pop","Bacharach and david, Danny boy styles, Ben billions, Geologist, Avey tare, Panda bear, Hal david, Burt bacharach, Boots, Belly, The dream, Beyonce, The weeknd",The Weeknd
Rascal Flatts,I Like The Sound Of That,13-May-14,Country,"Shay mooney, Jesse frasure, Meghan trainor",
Florida Georgia Line,Confession,14-Oct-14,"Country,Rock","Matt jenkins, Ross copperman, Rodney clawson",
Iggy Azalea,Team,18-Mar-16,"Aussie Hip-Hop,Australia,Electro-Hop,Electronic,Pop,Rap","Brandon stix salaam bailey, Marlon chordz barrow, Juvenile, Louis harden, Ryan anthony avilez, Michael fonseca, Fuego, Drugs, Bebe rexha, Lauren christy, Iggy azalea",
Beyonce,Don't Hurt Yourself,23-Apr-16,"Pop-Rock,Rock,Pop","Diana gordon, John bonham, John paul jones, James page, Robert plant, Beyonce, Jack white",Jack White
Beyonce,All Night,23-Apr-16,"Pop,R&;B","Jrm, R city, Big boi, Sleepy brown, Andre 3000, Worldwide fresh, Ilsey, Theron thomas, Timothy thomas, Beyonce, Diplo",
Beyonce,Freedom,23-Apr-16,"West Coast,Rap,R&;B","John lomax, Jonny coffer, Alan lomax, Frank tirado, Kendrick lamar, Dean mcintosh, Carla marie, Beyonce",Kendrick Lamar
Beyonce,Daddy Lessons,23-Apr-16,"Country,Bluegrass","Diana gordon, Kevin cossom, Alex delicata, Beyonce",
Beyonce,Pray You Catch Me,23-Apr-16,"Pop,R&;B","James blake, Beyonce, Kevin garrett",
Beyonce,Sandcastles,23-Apr-16,"Ballad,R&;B,Pop","Midian mathers, Vincent berry ii, Malik yusef, Beyonce",
Beyonce,Love Drought,23-Apr-16,"R&;B,Pop","Ingrid, Beyonce, Mike dean",
"Zedd, Kesha",True Colors,29-Apr-16,Pop,"Tim james, Antonina armato, Zedd",
Drake,Views,29-Apr-16,"Canada,Rap","Maneesh, Boi 1da, Voyce, Drake",
Drake,Summer Sixteen,31-Jan-16,"Beef,Canada,Rap",Drake,
Prince And The Revolution,Purple Rain,,"Eighties,Soul,Soul Pop,Pop,Soundtrack,R&;B,Rock",Prince,
Prince,When Doves Cry,,"Eighties,Soundtrack,Funk,Pop,R&;B,Rock",Prince,
Prince,Little Red Corvette,,"Synth-Pop,New Wave,Pop,Rock,R&;B",Prince,
Prince And The Revolution,Kiss,,"Pop,Funk,R&;B,Rock",Prince,
Prince And The Revolution,Let's Go Crazy,,"Soundtrack,Funk,R&;B,Rock",Prince,
Prince,1999,,"Dance,Funk,Pop,Rock",Prince,
Prince And The Revolution,Raspberry Beret,,"Eighties,Pop,R&;B,Rock",Prince,
Prince And The Revolution,I Would Die 4 U,,"Eighties,Soundtrack,Pop,Funk,R&;B,Rock",Prince,
"Drake, Future",Jumpman,20-Sep-15,"Trap,Canada,Rap","Metro boomin, Future, Drake",
Beyonce,Forward,23-Apr-16,"R&;B,Pop","Beyonce, James blake",James Blake
Chris Brown,Back To Sleep,26-Feb-16,"Pop,Rap,Remix,R&;B","Chris brown, Usher, Zayn, Allen ritter, Boi 1da, Vinylz",
Cole Swindell,You Should Be Here,14-Dec-15,Country,"Cole swindell, Ashley gorley",
A$AP Ferg,New Level,18-Dec-15,"Atlanta,East Coast,Trap,Rap","Da honorable cnote, A ap ferg, Future",Future
Justin Bieber,Company,8-Mar-16,"Electronic,Dance-Pop,Dance,Canada,Pop","Gladius, Jhart, Big taste, Poo bear, Thomas troelsen, Justin bieber",
The Weeknd,Acquainted,28-Aug-15,"Canada,Pop,R&;B","Danny boy styles, Ben billions, Daheala, The weeknd, Illangelo",
Lee Brice,That Don't Sound Like You,11-May-15,Country,"Lee brice, Rhett akins, Ashley gorley",
Selena Gomez,Hands To Myself,26-Jan-16,Pop,"Robin fredriksson, Mattias larsson, Justin tranter, Julia michaels, Max martin",
Adele,Hello,23-Oct-15,"Adult Alternative,Adult Contemporary,Ballad,Piano,Soul,Memes,UK,Pop","Adele, Greg kurstin",
Yo Gotti,Down In The DM,19-Feb-16,Rap,"Yo gotti, Ben billionaire, Dj khaled, Ian lewis, Nicki minaj",Nicki Minaj
The Weeknd,The Hills,27-May-15,"Trap,Alternative R&;B,Canada,Pop,R&;B","Belly, The weeknd, Mano, Illangelo",
Taylor Swift,New Romantics,3-Mar-15,"New Wave,Synth-Pop,Pop","Shellback, Max martin, Taylor swift",
Brett Eldredge,Drunk On Your Love,11-Sep-15,Country,,
Ty Dolla $ign,Saved,16-Oct-15,Rap,"Bobby brackins, Nick audino, Lewis hughes, Gizzle, Mustard, E 40, Ty dolla sign",E
Chase Bryant,Little Bit Of You,,Pop,,
DJ Luke Nasty,Might Be,8-Sep-15,Rap,"Anderson paak, Dj luke nasty",
Kanye West,Pt. 2,14-Feb-16,"Experimental,Trap,Rap","Menace, Caroline shaw, Plain pat, Rick rubin, Kanye west, Cyhi the prynce",
Fetty Wap,Jimmy Choo,4-Nov-15,Rap,Fetty wap,
Ariana Grande,Let Me Love You,18-Apr-16,"Trap,R&;B,Rap,Pop","Ob obrien, Fki 1st, Jeremih, Mr franks, Tbhits, Lil wayne, Victoria monet, Ariana grande",Lil Wayne
Jonas Blue,Fast Car,4-Dec-15,"Dance-Pop,UK,Dance,Pop",Tracy chapman,Dakota
Thomas Rhett,Die A Happy Man,25-Sep-15,Country,"Sean douglas, John ward, Thomas rhett",
Chris Stapleton,Nobody To Blame,9-Nov-15,Country,"Ronnie bowman, Barry bales, Chris stapleton",
Kanye West,Waves,14-Feb-16,"DMV,Gospel,R&;B,Trap,Rap","Hudson mohawke, Fred brathwaite, Partynextdoor, Darryl mason, Robin diggs, Kevin ferguson, Theodore livingston, Mesh germany, Noah goldstein, Malik yusef, A williams, Charlie heat, Metro boomin, Mike dean, Fonzworth bentley, Elon rutberg, Kanye west, Cyhi the prynce, Kid cudi, Chris brown, Chance the rapper",
Robin Schulz,Sugar,17-Jul-15,"Electronic,Dance,Pop","Jurgen dohr, Kramer, Guido, Dennis bierbrodt, Baby bash, Happy perez, Frankie j, Robin schulz, Francesco yates",Francesco Yates
